mysql> SELECT typo3_versionstring,count(host_id) FROM host WHERE typo3_installed = 1 GROUP BY typo3_versionstring;
+---------------------+----------------+
| typo3_versionstring | count(host_id) |
+---------------------+----------------+
| NULL                |            356 |
| TYPO3 3.6 CMS       |            118 |
| TYPO3 3.7 CMS       |            372 |
| TYPO3 3.8 CMS       |            973 |
| TYPO3 4.0 CMS       |           1718 |
| TYPO3 4.1 CMS       |           4938 |
| TYPO3 4.2 CMS       |          10884 |
| TYPO3 4.3 CMS       |           5075 |
| TYPO3 4.4 CMS       |           9655 |
| TYPO3 4.5 CMS       |          47340 |
| TYPO3 4.6 CMS       |           5294 |
| TYPO3 4.7 CMS       |          10968 |
| TYPO3 6.0 CMS       |           1523 |
| TYPO3 6.1 CMS       |           1193 |
| TYPO3 6.2 CMS       |             13 |
+---------------------+----------------+
15 rows in set (0.71 sec)


mysql> SELECT COUNT(host_id) FROM host WHERE typo3_installed;
+----------------+
| COUNT(host_id) |
+----------------+
|         100420 |
+----------------+
1 row in set (0.09 sec)


mysql> SELECT host_suffix AS publicSuffix,COUNT(host_id) AS num_hosts FROM host WHERE typo3_installed=1 AND host_suffix IS NOT NULL GROUP BY host_suffix ORDER BY num_hosts DESC;
+-------------------+-----------+
| publicSuffix      | num_hosts |
+-------------------+-----------+
| de                |     48343 |
| com               |     13327 |
| ch                |      5952 |
| at                |      5559 |
| dk                |      2845 |
| org               |      2582 |
| nl                |      2148 |
| fr                |      1723 |
| net               |      1653 |
| sk                |      1648 |
| eu                |      1389 |
| info              |      1211 |
| it                |      1128 |
| be                |      1088 |
| pl                |      1028 |
| no                |       533 |
| se                |       530 |
| ac.at             |       459 |
| ru                |       440 |
| cz                |       356 |
| in                |       338 |
| es                |       325 |
| co.uk             |       323 |
| ca                |       323 |
| si                |       303 |
| hu                |       275 |
| fi                |       242 |
| com.au            |       197 |
| biz               |       176 |
| edu               |       172 |
| www.ro            |       164 |
| gr                |       127 |
| hr                |       118 |
| co.at             |       117 |
| ie                |       110 |
| qc.ca             |       102 |
| cc                |       100 |
| lu                |        98 |
| edu.tr            |        80 |
| co.nz             |        79 |
| com.tr            |        73 |
| ro                |        72 |
| lv                |        69 |
| com.br            |        65 |
| cn                |        64 |
| tv                |        60 |
| ee                |        54 |
| ud.it             |        54 |
| us                |        54 |
| com.ua            |        52 |
| ag                |        47 |
| nu                |        46 |
| de.com            |        45 |
| org.uk            |        44 |
| pt                |        44 |
| co.jp             |        44 |
| cl                |        44 |
| gov.rw            |        43 |
| jp                |        36 |
| co.za             |        36 |
| li                |        35 |
| com.pl            |        33 |
| org.au            |        32 |
| gob.ec            |        32 |
| org.ua            |        32 |
| edu.pl            |        30 |
| tm.fr             |        30 |
| ac.fj             |        29 |
| gv.at             |        29 |
| com.ar            |        26 |
| ba                |        26 |
| or.at             |        25 |
| com.cn            |        24 |
| gl                |        23 |
| rs                |        23 |
| pu.it             |        23 |
| chambagri.fr      |        22 |
| lt                |        21 |
| org.nz            |        21 |
| uk.com            |        20 |
| bg                |        20 |
| ua                |        19 |
| kz                |        19 |
| lviv.ua           |        18 |
| bz.it             |        17 |
| com.sg            |        17 |
| us.com            |        17 |
| mobi              |        16 |
| asia              |        15 |
| ae                |        15 |
| net.au            |        14 |
| gov.uk            |        14 |
| ac.uk             |        14 |
| com.mx            |        14 |
| ru.com            |        14 |
| edu.co            |        13 |
| pn.it             |        12 |
| gov.tn            |        12 |
| aero              |        12 |
| tn                |        12 |
| dz                |        12 |
| co.id             |        12 |
| cn.com            |        11 |
| int               |        11 |
| fo                |        11 |
| br.com            |        11 |
| com.na            |        11 |
| co.kr             |        11 |
| gouv.fr           |        10 |
| com.de            |        10 |
| com.co            |        10 |
| com.hr            |        10 |
| br                |        10 |
| am                |         9 |
| sg                |         9 |
| travel            |         9 |
| co                |         8 |
| org.co            |         8 |
| gov.ua            |         8 |
| nhs.uk            |         8 |
| by                |         8 |
| hk                |         8 |
| as                |         8 |
| md                |         8 |
| org.tr            |         8 |
| hu.com            |         8 |
| st                |         7 |
| eu.com            |         7 |
| me                |         7 |
| rw                |         7 |
| or.jp             |         7 |
| kr                |         7 |
| mx                |         7 |
| com.my            |         6 |
| grosseto.it       |         6 |
| cci.fr            |         6 |
| com.tw            |         6 |
| co.hu             |         6 |
| co.in             |         6 |
| to                |         6 |
| co.il             |         6 |
| ws                |         6 |
| sh                |         6 |
| co.ke             |         6 |
| coop              |         6 |
| tn.it             |         5 |
| tw                |         5 |
| kiev.ua           |         5 |
| rn.it             |         5 |
| if.ua             |         5 |
| cx                |         5 |
| museum            |         5 |
| gr.com            |         5 |
| bz                |         5 |
| fm                |         5 |
| pro               |         5 |
| gov.ru            |         5 |
| com.ph            |         5 |
| se.com            |         5 |
| com.ba            |         5 |
| nat.tn            |         5 |
| re                |         5 |
| asso.fr           |         5 |
| kr.com            |         4 |
| go.it             |         4 |
| gov.pl            |         4 |
| sk.ca             |         4 |
| za.com            |         4 |
| edu.ua            |         4 |
| ma                |         4 |
| net.pl            |         4 |
| is                |         4 |
| co.th             |         4 |
| net.ua            |         4 |
| bc.ca             |         4 |
